"State","Year","Children Maltreated While in Foster Care (%)","Children Not Maltreated While in Foster Care (%)","Number of Children in Foster Care During FY"
"Alabama","2012","0.18","99.82","7,915"
"Alaska","2012","0.92","99.08","2,725"
"Arizona","2012","0.08","99.92","21,271"
"Arkansas","2012","0.13","99.87","7,513"
"California","2012","0.23","99.77","84,151"
"Colorado","2012","0.41","99.59","11,226"
"Connecticut","2012","0.49","99.51","6,320"
"Delaware","2012","0.15","99.85","1,306"
"District of Columbia","2012","0.35","99.65","2,279"
"Florida","2012","0.61","99.39","34,816"
"Georgia","2012","DQ*","DQ*","-"
"Hawaii","2012","0.14","99.86","2,169"
"Idaho","2012","0.17","99.83","2,412"
"Illinois","2012","0.35","99.65","22,486"
"Indiana","2012","0.13","99.87","18,565"
"Iowa","2012","0.35","99.65","10,427"
"Kansas","2012","0.2","99.8","9,477"
"Kentucky","2012","0.5","99.5","12,085"
"Louisiana","2012","DQ*","DQ*","7,539"
"Maine","2012","0.14","99.86","2,176"
"Maryland","2012","0.48","99.52","7,974"
"Massachusetts","2012","0.93","99.07","13,613"
"Michigan","2012","0.66","99.34","22,180"
"Minnesota","2012","0.41","99.59","10,747"
"Mississippi","2012","1.6","98.4","5,993"
"Missouri","2012","0.25","99.75","15,163"
"Montana","2012","0.3","99.7","3,017"
"Nebraska","2012","0.46","99.54","8,041"
"Nevada","2012","0.66","99.34","7,719"
"New Hampshire","2012","0","0","1,193"
"New Jersey","2012","0.23","99.77","11,588"
"New Mexico","2012","0.62","99.38","3,560"
"New York","2012","1.19","98.81","34,679"
"North Carolina","2012","DQ*","DQ*","13,197"
"North Dakota","2012","0.59","99.41","1,875"
"Ohio","2012","0.5","99.5","21,383"
"Oklahoma","2012","0.89","99.11","13,618"
"Oregon","2012","0.84","99.16","12,547"
"Pennsylvania","2012","0.14","99.86","23,677"
"Puerto Rico","2012","0.09","99.91","5,437"
"Rhode Island","2012","1.04","98.96","2,885"
"South Carolina","2012","0.43","99.57","6,537"
"South Dakota","2012","0","0","2,519"
"Tennessee","2012","0.07","99.93","14,025"
"Texas","2012","0.27","99.73","46,425"
"Utah","2012","0.08","99.92","4,839"
"Vermont","2012","0","0","1,579"
"Virginia","2012","0.16","99.84","7,363"
"Washington","2012","0.33","99.67","14,653"
"West Virginia","2012","0.2","99.8","7,478"
"Wisconsin","2012","0.12","99.88","10,768"
"Wyoming","2012","0","0","1,792"
