"State","Year","Children Maltreated While in Foster Care (%)","Children Not Maltreated While in Foster Care (%)","Number of Children in Foster Care During FY"
"Alabama","2015","0.06","99.94","7,977"
"Alaska","2015","0.38","99.62","3,653"
"Arizona","2015","0.06","99.94","28,565"
"Arkansas","2015","0.25","99.75","7,500"
"California","2015","0.21","99.79","86,973"
"Colorado","2015","0.56","99.44","10,470"
"Connecticut","2015","0.74","99.26","5,784"
"Delaware","2015","0","0","1,016"
"District of Columbia","2015","0.22","99.78","1,383"
"Florida","2015","0.04","99.96","36,864"
"Georgia","2015","DQ*","DQ*","-"
"Hawaii","2015","0.91","99.09","2,312"
"Idaho","2015","-","-","-"
"Illinois","2015","0.55","99.45","21,712"
"Indiana","2015","0.15","99.85","25,030"
"Iowa","2015","0.36","99.64","9,764"
"Kansas","2015","0.29","99.71","10,611"
"Kentucky","2015","0.96","99.04","12,562"
"Louisiana","2015","DQ*","DQ*","8,290"
"Maine","2015","0.4","99.6","2,756"
"Maryland","2015","0.41","99.59","6,042"
"Massachusetts","2015","0.97","99.03","15,882"
"Michigan","2015","0.5","99.5","20,832"
"Minnesota","2015","0.41","99.59","12,901"
"Mississippi","2015","0.96","99.04","7,360"
"Missouri","2015","0.24","99.76","18,651"
"Montana","2015","0.31","99.69","4,161"
"Nebraska","2015","0.11","99.89","6,224"
"Nevada","2015","0.16","99.84","7,616"
"New Hampshire","2015","0","0","1,572"
"New Jersey","2015","0.15","99.85","11,619"
"New Mexico","2015","0.22","99.78","4,121"
"New York","2015","0.72","99.28","29,613"
"North Carolina","2015","DQ*","DQ*","15,083"
"North Dakota","2015","0.04","99.96","2,333"
"Ohio","2015","0.4","99.6","22,533"
"Oklahoma","2015","1.58","98.42","16,808"
"Oregon","2015","0.73","99.27","10,740"
"Pennsylvania","2015","0.1","99.9","25,009"
"Puerto Rico","2015","-","-","-"
"Rhode Island","2015","1.38","98.62","2,897"
"South Carolina","2015","0.2","99.8","7,043"
"South Dakota","2015","0.05","99.95","2,181"
"Tennessee","2015","0.28","99.72","13,257"
"Texas","2015","0.3","99.7","47,351"
"Utah","2015","0.06","99.94","5,124"
"Vermont","2015","0","0","2,049"
"Virginia","2015","0.26","99.74","7,285"
"Washington","2015","0.11","99.89","16,187"
"West Virginia","2015","0.33","99.67","8,280"
"Wisconsin","2015","0.09","99.91","11,387"
"Wyoming","2015","0.53","99.47","2,087"
