"State","Year","Children Without a Recurrence (%)","Children With One Or More Recurrence (%)","Number of Unique Victims"
"Alabama","2016","97.8","2.2","4715"
"Alaska","2016","86.9","13.1","1594"
"Arizona","2016","97.5","2.5","3340"
"Arkansas","2016","94.3","5.7","4725"
"California","2016","94.1","5.9","33661"
"Colorado","2016","94","6","5541"
"Connecticut","2016","92.6","7.4","3876"
"Delaware","2016","97.5","2.5","722"
"District of Columbia","2016","94.7","5.3","699"
"Florida","2016","95.2","4.8","20908"
"Georgia","2016","95.3","4.7","12863"
"Hawaii","2016","99.2","0.8","708"
"Idaho","2016","96.1","3.9","874"
"Illinois","2016","92.5","7.5","14453"
"Indiana","2016","93.4","6.6","13219"
"Iowa","2016","92","8","4329"
"Kansas","2016","96.8","3.2","969"
"Kentucky","2016","92.2","7.8","9857"
"Louisiana","2016","94.3","5.7","5931"
"Maine","2016","95.5","4.5","1791"
"Maryland","2016","93","7","3456"
"Massachusetts","2016","88.8","11.2","18365"
"Michigan","2016","94.3","5.7","18008"
"Minnesota","2016","93.3","6.7","3922"
"Mississippi","2016","93.4","6.6","4916"
"Missouri","2016","96","4","2886"
"Montana","2016","94.8","5.2","1467"
"Nebraska","2016","98.2","1.8","1324"
"Nevada","2016","96.1","3.9","2395"
"New Hampshire","2016","99.2","0.8","384"
"New Jersey","2016","95.5","4.5","4139"
"New Mexico","2016","88","12","3958"
"New York","2016","87.6","12.4","34806"
"North Carolina","2016","98.1","1.9","3401"
"North Dakota","2016","94.9","5.1","979"
"Ohio","2016","93.3","6.7","11482"
"Oklahoma","2016","94.7","5.3","6977"
"Oregon","2016","88.6","11.4","5420"
"Pennsylvania","2016","97","3","2066"
"Puerto Rico","2016","-","-","-"
"Rhode Island","2016","93.2","6.8","1495"
"South Carolina","2016","95.2","4.8","8679"
"South Dakota","2016","95.6","4.4","611"
"Tennessee","2016","97.9","2.1","4585"
"Texas","2016","97","3","28573"
"Utah","2016","94.1","5.9","4863"
"Vermont","2016","96.2","3.8","364"
"Virginia","2016","97.5","2.5","2937"
"Washington","2016","91.1","8.9","2551"
"West Virginia","2016","98","2","2823"
"Wisconsin","2016","95.9","4.1","2283"
"Wyoming","2016","97.9","2.1","469"
